Town,Year,Change
Old Saybrook,2021,62
Old Saybrook,2020,234
Old Saybrook,2019,-121
Old Saybrook,2018,-129
Cheshire,2022,-185
Cheshire,2021,58
Cheshire,2020,384
Cheshire,2019,-310
Cheshire,2018,-81
Monroe,2022,-193
Monroe,2021,82
Monroe,2020,50
Monroe,2019,10
Monroe,2018,-18
Guilford,2022,-201
Guilford,2021,41
Guilford,2020,76
Guilford,2019,351
Guilford,2018,-234
Wilton,2022,-208
Wilton,2021,105
Wilton,2020,338
Wilton,2019,-172
Wilton,2018,-90
South Windsor,2022,-209
South Windsor,2021,60
South Windsor,2020,33
South Windsor,2019,461
South Windsor,2018,-270
Bethel,2022,-209
Bethel,2021,27
Bethel,2020,48
Bethel,2019,316
Bethel,2018,-176
Windsor,2022,-211
Windsor,2021,231
Windsor,2020,344
Windsor,2019,-309
Windsor,2018,-127
Madison,2022,-217
Madison,2021,4
Madison,2020,420
Madison,2019,-279
Madison,2018,-64
Stonington,2022,-231
Stonington,2021,75
Stonington,2020,60
Stonington,2019,275
Stonington,2018,-189
Waterford,2022,-249
Waterford,2021,204
Waterford,2020,-39
Waterford,2019,339
Waterford,2018,-194
Simsbury,2022,-250
Simsbury,2021,119
Simsbury,2020,20
Simsbury,2019,374
Simsbury,2018,-283
Southbury,2022,-253
Southbury,2021,-12
Southbury,2020,96
Southbury,2019,420
Southbury,2018,-329
Darien,2022,-257
Darien,2021,65
Darien,2020,448
Darien,2019,-202
Darien,2018,-111
Wethersfield,2022,-266
Wethersfield,2021,247
Wethersfield,2020,322
Wethersfield,2019,-288
Wethersfield,2018,-115
Ridgefield,2022,-273
Ridgefield,2021,-9
Ridgefield,2020,279
Ridgefield,2019,322
Ridgefield,2018,-289
Branford,2022,-281
Branford,2021,551
Branford,2020,-249
Branford,2019,-188
Branford,2018,70
Norwich,2022,-297
Norwich,2021,247
Norwich,2020,614
Norwich,2019,-372
Norwich,2018,-157
Naugatuck,2022,-304
Naugatuck,2021,164
Naugatuck,2020,496
Naugatuck,2019,-256
Naugatuck,2018,-167
Farmington,2022,-306
Farmington,2021,128
Farmington,2020,122
Farmington,2019,366
Farmington,2018,-246
New Canaan,2022,-320
New Canaan,2021,157
New Canaan,2020,427
New Canaan,2019,-200
New Canaan,2018,-118
Plainville,2022,-327
Plainville,2021,64
Plainville,2020,25
Plainville,2019,-11
Plainville,2018,249
Newtown,2022,-338
Newtown,2021,82
Newtown,2020,171
Newtown,2019,368
Newtown,2018,-246
Glastonbury,2022,-341
Glastonbury,2021,121
Glastonbury,2020,8
Glastonbury,2019,541
Glastonbury,2018,-334
Torrington,2022,-367
Torrington,2021,732
Torrington,2020,-308
Torrington,2019,-181
Torrington,2018,111
Bristol,2022,-369
Bristol,2021,160
Bristol,2020,140
Bristol,2019,806
Bristol,2018,-441
Middletown,2022,-385
Middletown,2021,280
Middletown,2020,-34
Middletown,2019,587
Middletown,2018,-371
New Britain,2022,-415
New Britain,2021,316
New Britain,2020,-18
New Britain,2019,737
New Britain,2018,-487
New Haven,2022,-416
New Haven,2021,380
New Haven,2020,-57
New Haven,2019,126
New Haven,2018,775
Stratford,2022,-434
Stratford,2021,882
Stratford,2020,-512
Stratford,2019,-270
Stratford,2018,143
West Hartford,2022,-485
West Hartford,2021,481
West Hartford,2020,-133
West Hartford,2019,5
West Hartford,2018,809
Danbury,2022,-520
Danbury,2021,281
Danbury,2020,64
Danbury,2019,937
Danbury,2018,-526
Waterbury,2022,-694
Waterbury,2021,767
Waterbury,2020,30
Waterbury,2019,1176
Waterbury,2018,-644
Norwalk,2022,-708
Norwalk,2021,479
Norwalk,2020,1159
Norwalk,2019,-845
Norwalk,2018,-296
Stamford,2022,-896
Stamford,2021,712
Stamford,2020,190
Stamford,2019,1312
Stamford,2018,-1110
